lang	case_id	equiv_class	smoke	expected
typescript	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
ruby	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
lua	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
php	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
dart	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
rust	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
go	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
swift	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
java	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
kotlin	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
csharp	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
c	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
cpp	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
gdscript	st_p2_transition_pingpong__smoke	p2_transition_pingpong	yes	10
python_3	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
javascript	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
erlang	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
typescript	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
ruby	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
lua	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
php	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
dart	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
rust	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
go	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
swift	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
java	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
kotlin	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
csharp	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
c	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
cpp	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
gdscript	st_p2_transition_pingpong__full	p2_transition_pingpong	no	100
python_3	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
javascript	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
erlang	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
typescript	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
ruby	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
lua	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
php	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
dart	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
rust	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
go	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
swift	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
java	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
kotlin	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
csharp	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
c	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
cpp	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
gdscript	st_p3_push_pop_depth__smoke	p3_push_pop_depth	yes	10
python_3	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
javascript	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
erlang	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
typescript	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
ruby	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
lua	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
php	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
dart	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
rust	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
go	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
swift	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
java	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
kotlin	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
csharp	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
c	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
cpp	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
gdscript	st_p3_push_pop_depth__full	p3_push_pop_depth	no	100
